width,model_dimension,approximation_error,alpha_n,reconstruction_error_mean,reconstruction_error_sd,theorem_bound
2.000000000000000000e+00,4.000000000000000000e+00,2.655203267360373154e-01,8.236138958273132582e-01,2.697517388500891289e-01,3.857520354296581653e-05,9.173750492806993506e-01
4.000000000000000000e+00,6.000000000000000000e+00,2.337623929362004638e-01,7.156162353015195210e-01,2.473566821942205229e-01,7.934301433472167172e-05,8.952352838486330455e-01
6.000000000000000000e+00,8.000000000000000000e+00,1.880146286808255518e-01,6.023193868137293183e-01,2.055634166631282456e-01,1.203179572661998680e-04,8.220058628964224123e-01
8.000000000000000000e+00,1.000000000000000000e+01,5.934334064236584244e-02,4.914318026362388125e-01,6.475339694852592920e-02,1.638079633707217094e-04,3.127307581703089312e-01
1.200000000000000000e+01,1.400000000000000000e+01,4.864793945118818519e-02,2.986762392097904728e-01,5.038644606601870579e-02,1.239295097561949092e-04,3.939443488729740261e-01
1.600000000000000000e+01,1.800000000000000000e+01,3.482967717315901823e-02,1.617191383388393855e-01,3.574643794116939138e-02,1.087355705972430065e-04,5.016594488264335405e-01
2.400000000000000000e+01,2.600000000000000000e+01,1.199257313772149856e-02,3.390676451229380356e-02,1.392974580646739666e-02,1.535451639610861197e-03,8.914955508104281945e-01
3.200000000000000000e+01,3.400000000000000000e+01,7.999152516135303592e-03,4.526597319419061773e-03,4.079916477891367549e-02,1.865107946789389126e-02,4.831547077790711242e+00
4.800000000000000000e+01,5.000000000000000000e+01,3.170725420246977080e-03,1.995287745243949485e-05,7.842032016251591742e+00,4.551264675648944547e+00,6.103113804504178006e+02
6.400000000000000000e+01,6.600000000000000000e+01,1.794556978021765239e-03,1.309401534044504856e-08,1.156838242479409018e+04,7.089083287840561752e+03,7.197996803009551950e+05
